id, , , , ,,,
0, 意識はありますか,1,2,1,3, , 0:
1, 体動はありますか,3,-1,1,3, , 0:1:2:
2, 体動はありますか,5,-1,1,3, , 1:2:
3, 歩くことができますか,7,8,1,3, , 0:
4, 何かのどにものをつまらせましたか,-1,6,2,1, 4:, 
5, 出血はありますか,11,-1,3,1, , 
6, 何か生き物にかまれましたか,9,12,2,1, , 
7, 痛みがありますか,15,4,2,1, , 
8, からだに変形が見られますか,-1,13,3,1, 6:,
9, 腫れがありますか,-1,10,3,1, , 
10, 強いかゆみがありますか,-1,-1,3,1, , 
11, 出血が多いですか,-1,-1,3,1, 3:, 
12, 何か生き物に刺されましたか,9,-1,2,1, , 
13, 出血はありますか,11,14,2,1, , 
14, 何かのどにものをつまらせましたか,-1,-1,2,1, 4:, 
15, からだに変形が見られますか,-1,4,2,1, 6:, 
16, ,-1,-1, , , , 
17, ,-1,-1, , , , 
18, ,-1,-1, , , , 
19, ,-1,-1, , , , 
20, ,-1,-1, , , , 
21, ,-1,-1, , , , 
22, ,-1,-1, , , , 
23, ,-1,-1, , , , 
24, ,-1,-1, , , , 
25, ,-1,-1, , , , 
26, ,-1,-1, , , , 
27, ,-1,-1, , , , 
28, ,-1,-1, , , , 
29, ,-1,-1, , , , 
30, ,-1,-1, , , , 
