0,119番通報, ,119番通報をして救急車を呼んでください。位置情報、問診の記録などを伝えてください。,119番通報,icon.png
1,AED使用,care_aed,AEDを使って処置をしてください。AEDマップを参考にしてください。,AEDマップを表示,
2,胸骨圧迫,care_chest_compression,胸骨圧迫を行ってください。ボタンを押すとガイドが始まります。,手当開始,care/chest.jpg
3,止血,care_bleed_stopping,止血を行ってください。ボタンを押すとガイドが始まります。,手当開始,care/shiketsu.jpg
4,気道異物除去,care_airway_foreign_body_removal,気道異物除去の手当を行ってください。ボタンを押すとガイドが始まります。,手当開始,care/kido.jpg
5,熱中症,care_heatstroke,熱中症かそれに準ずる症状です。手当を行ってください。ボタンを押すとガイドが始まります。,手当開始,care/necchusho.jpg
6,骨折,care_fracture,骨折の手当を行ってください。,手当開始,care/kossetsu.jpg
7,医師の診察を, ,医師の診察を受けてください。地域の病院を検索します。,病院の検索,
8,医師の診察を, ,なるべく早く、医師の診察を受けてください。地域の病院を検索します。,病院の検索,
9,救急相談センターに発信, , 救急相談センター(#7119)で医師に電話で相談してください。問診記録を伝え、指示に従ってください。,救急相談センターに　発信
